sub_id,trial_type,MnRT,group
001,congruent,0.6598533333333333,Naodao
001,incongruent,0.7479266666666666,Naodao
002,congruent,0.632215,Naodao
002,incongruent,0.7698383333333333,Naodao
003,congruent,0.7198216666666667,Naodao
003,incongruent,0.8422533333333333,Naodao
004,congruent,0.9770850000000001,Naodao
004,incongruent,1.47006,Naodao
005,congruent,0.8859666666666667,Naodao
005,incongruent,0.9841666666666666,Naodao
006,congruent,1.158105,Naodao
006,incongruent,1.4777766666666667,Naodao
007,congruent,0.76326,Naodao
007,incongruent,0.9209933333333333,Naodao
008,congruent,0.8920716666666666,Naodao
008,incongruent,0.8816666666666666,Naodao
009,congruent,0.9707216666666666,Naodao
009,incongruent,1.0321416666666667,Naodao
010,congruent,0.7628311666666666,Naodao
010,incongruent,0.9895793333333334,Naodao
011,congruent,0.6573316666666666,Naodao
011,incongruent,0.9106083333333334,Naodao
012,congruent,0.6585,Naodao
012,incongruent,0.75652,Naodao
013,congruent,0.6798649999999999,Naodao
013,incongruent,0.7639549999999999,Naodao
014,congruent,0.6230066666666667,Naodao
014,incongruent,0.695565,Naodao
015,congruent,0.603995,Naodao
015,incongruent,0.7985616666666666,Naodao
016,congruent,0.65716,Naodao
016,incongruent,0.87505,Naodao
017,congruent,0.88308,Naodao
017,incongruent,1.0788116666666667,Naodao
018,congruent,0.4765916666666667,Naodao
018,incongruent,0.607375,Naodao
019,congruent,0.7172366666666666,Naodao
019,incongruent,0.7922533333333334,Naodao
020,congruent,0.7054333333333334,Naodao
020,incongruent,0.81215,Naodao
021,congruent,0.71088,Naodao
021,incongruent,1.0228483333333334,Naodao
022,congruent,0.9514883333333334,Naodao
022,incongruent,1.0437049999999999,Naodao
023,congruent,0.7827733333333333,Naodao
023,incongruent,0.906245,Naodao
024,congruent,0.6956166666666667,Naodao
024,incongruent,0.8263,Naodao
025,congruent,0.5882683333333334,Naodao
025,incongruent,0.6806983333333334,Naodao
026,congruent,0.7695233333333333,Naodao
026,incongruent,0.8835766666666667,Naodao
027,congruent,0.7670283333333334,Naodao
027,incongruent,0.9530233333333334,Naodao
028,congruent,0.7792516666666667,Naodao
028,incongruent,0.8677499999999999,Naodao
029,congruent,0.6508583333333333,Naodao
029,incongruent,0.7669,Naodao
030,congruent,0.7268916666666667,Naodao
030,incongruent,0.795485,Naodao
031,congruent,0.71336,Naodao
031,incongruent,0.869415,Naodao
032,congruent,1.6558266666666666,Naodao
032,incongruent,1.5460433333333332,Naodao
033,congruent,0.6536633333333334,Naodao
033,incongruent,0.7583616666666667,Naodao
034,congruent,0.9404066666666666,Naodao
034,incongruent,1.173105,Naodao
035,congruent,0.6304916666666667,Naodao
035,incongruent,0.815835,Naodao
036,congruent,0.53589,Naodao
036,incongruent,0.5769766666666667,Naodao
037,congruent,0.5712533333333333,Naodao
037,incongruent,0.6398666666666667,Naodao
038,congruent,0.7863016666666667,Naodao
038,incongruent,0.8900516666666667,Naodao
039,congruent,0.706425,Naodao
039,incongruent,0.8718083333333334,Naodao
040,congruent,0.8053116666666666,Naodao
040,incongruent,1.0325016666666667,Naodao
041,congruent,0.6014116666666667,Naodao
041,incongruent,0.783665,Naodao
042,congruent,0.48140932332801945,Offline
042,incongruent,0.5382101600116584,Offline
043,congruent,0.7823559216660214,Offline
043,incongruent,0.8104400350013747,Offline
044,congruent,0.6201137516696084,Offline
044,incongruent,0.8305554283351133,Offline
045,congruent,0.7181121749997449,Offline
045,incongruent,0.8786389833338035,Offline
046,congruent,0.5350322033333328,Offline
046,incongruent,0.6387303900000044,Offline
047,congruent,1.4834902650000004,Offline
047,incongruent,1.7449986699995255,Offline
048,congruent,1.4749043799936772,Offline
048,incongruent,1.625632993329782,Offline
049,congruent,0.6832007799993638,Offline
049,incongruent,0.7071358199992877,Offline
050,congruent,0.6526503566671938,Offline
050,incongruent,0.862891083334398,Offline
051,congruent,0.6476771966675491,Offline
051,incongruent,0.7459499433321374,Offline
052,congruent,0.8027240966664977,Offline
052,incongruent,0.9853325983325097,Offline
053,congruent,0.72992741999999,Offline
053,incongruent,0.9861360949999949,Offline
054,congruent,0.7310670933336951,Offline
054,incongruent,0.8272946050021953,Offline
055,congruent,1.027593623365586,Offline
055,incongruent,1.172052780042092,Offline
056,congruent,0.7249673216681306,Offline
056,incongruent,0.87605801000124,Offline
057,congruent,0.7929410949989688,Offline
057,incongruent,1.054775470001429,Offline
058,congruent,0.9590499249995142,Offline
058,incongruent,0.9344487149981433,Offline
059,congruent,0.5379152283333194,Offline
059,incongruent,0.6324425583333323,Offline
060,congruent,0.7237434199991791,Offline
060,incongruent,0.8872840549932638,Offline
061,congruent,0.5990329466585536,Offline
061,incongruent,0.8008230949965461,Offline
062,congruent,0.6291765316661136,Offline
062,incongruent,0.7394001316735133,Offline
063,congruent,0.5825582066652715,Offline
063,incongruent,0.698753419998684,Offline
064,congruent,0.5594789100012956,Offline
064,incongruent,0.5803970483333009,Offline
065,congruent,1.0076523016682282,Offline
065,incongruent,0.9859352299962969,Offline
066,congruent,0.6841778966772836,Offline
066,incongruent,0.8962749883357901,Offline
067,congruent,0.7049716983300944,Offline
067,incongruent,0.8963679149950622,Offline
068,congruent,0.9439630466663705,Offline
068,incongruent,1.0533011983337928,Offline
069,congruent,0.6085967283385495,Offline
069,incongruent,0.6823153250850738,Offline
070,congruent,0.6284826583345421,Offline
070,incongruent,0.7430668516734538,Offline
071,congruent,0.7050989416757754,Offline
071,incongruent,0.7601234116669123,Offline
072,congruent,0.7694871883333311,Offline
072,incongruent,1.0405512250000015,Offline
073,congruent,0.7480011200008448,Offline
073,incongruent,0.7670432183336137,Offline
074,congruent,0.84911526334472,Offline
074,incongruent,0.8901895933318883,Offline
075,congruent,0.6750003166748987,Offline
075,incongruent,0.807358993345406,Offline
076,congruent,0.7724853183332016,Offline
076,incongruent,0.9780385666674799,Offline
077,congruent,0.9726401399999304,Offline
077,incongruent,1.0040902249996482,Offline
078,congruent,0.8861817883330029,Offline
078,incongruent,1.2571625866665272,Offline
079,congruent,0.723551,Pavlovia
079,incongruent,0.9153622499999999,Pavlovia
080,congruent,0.9431216666666666,Pavlovia
080,incongruent,1.223885,Pavlovia
081,congruent,0.91092975,Pavlovia
081,incongruent,1.0253850833333333,Pavlovia
082,congruent,0.6860544166666667,Pavlovia
082,incongruent,0.8710431666666667,Pavlovia
083,congruent,0.76328575,Pavlovia
083,incongruent,1.0270159166666668,Pavlovia
084,congruent,1.14782,Pavlovia
084,incongruent,1.293135,Pavlovia
085,congruent,0.9449494166666667,Pavlovia
085,incongruent,1.0136874166666667,Pavlovia
086,congruent,0.70965,Pavlovia
086,incongruent,0.75695,Pavlovia
087,congruent,0.9093745,Pavlovia
087,incongruent,1.0648183333333334,Pavlovia
088,congruent,0.7187404166666667,Pavlovia
088,incongruent,0.8024225833333334,Pavlovia
089,congruent,0.707351,Pavlovia
089,incongruent,0.9163315833333333,Pavlovia
090,congruent,0.6405833333333334,Pavlovia
090,incongruent,0.7692833333333333,Pavlovia
091,congruent,0.7858666666666667,Pavlovia
091,incongruent,0.9379166666666666,Pavlovia
092,congruent,0.9934960833333334,Pavlovia
092,incongruent,1.1651446666666667,Pavlovia
093,congruent,0.8579320833333333,Pavlovia
093,incongruent,1.0360663333333333,Pavlovia
094,congruent,0.7608666666666667,Pavlovia
094,incongruent,0.8958666666666667,Pavlovia
095,congruent,0.8726416666666666,Pavlovia
095,incongruent,0.8914816666666667,Pavlovia
096,congruent,0.8807366666666667,Pavlovia
096,incongruent,0.81724,Pavlovia
097,congruent,0.87524,Pavlovia
097,incongruent,0.838445,Pavlovia
098,congruent,0.7059166666666666,Pavlovia
098,incongruent,0.730865,Pavlovia
099,congruent,0.576445,Pavlovia
099,incongruent,0.72537,Pavlovia
100,congruent,0.5974833333333333,Pavlovia
100,incongruent,0.6727166666666666,Pavlovia
101,congruent,0.7755166666666666,Pavlovia
101,incongruent,0.9402833333333334,Pavlovia
102,congruent,0.7165383333333334,Pavlovia
102,incongruent,0.921385,Pavlovia
103,congruent,0.5771433333333333,Pavlovia
103,incongruent,0.7940933333333333,Pavlovia
104,congruent,0.7176666666666667,Pavlovia
104,incongruent,0.84155,Pavlovia
105,congruent,1.26228,Pavlovia
105,incongruent,1.497445,Pavlovia
106,congruent,0.63597,Pavlovia
106,incongruent,0.7146466666666667,Pavlovia
107,congruent,0.749155,Pavlovia
107,incongruent,0.8804433333333334,Pavlovia
108,congruent,0.584275,Pavlovia
108,incongruent,0.6119233333333334,Pavlovia
109,congruent,0.6718166666666666,Pavlovia
109,incongruent,0.709755,Pavlovia
110,congruent,0.5530550000000001,Pavlovia
110,incongruent,0.6712283333333333,Pavlovia
111,congruent,0.7444516666666666,Pavlovia
111,incongruent,0.8936766666666667,Pavlovia
112,congruent,0.8270833333333333,Pavlovia
112,incongruent,0.9284833333333334,Pavlovia
113,congruent,0.6875524166666668,Pavlovia
113,incongruent,0.8256605833333334,Pavlovia
114,congruent,0.8404516666666667,Pavlovia
114,incongruent,0.9734333333333333,Pavlovia
115,congruent,0.840525,Pavlovia
115,incongruent,0.9637899999999999,Pavlovia
116,congruent,0.7148733333333334,Pavlovia
116,incongruent,0.77986,Pavlovia
117,congruent,0.7297266666666666,Pavlovia
117,incongruent,0.7421433333333333,Pavlovia
118,congruent,0.5857706666666667,Pavlovia
118,incongruent,0.5421299166666667,Pavlovia
119,congruent,0.7907083333333333,Pavlovia
119,incongruent,0.8152316666666667,Pavlovia
120,congruent,0.8443933333333333,Pavlovia
120,incongruent,1.0351966666666668,Pavlovia
121,congruent,0.7263783333333333,Pavlovia
121,incongruent,0.769725,Pavlovia
122,congruent,0.62222,Pavlovia
122,incongruent,0.68995,Pavlovia
